CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,EstimatedSalary
15634602,Hargrave,619,France,Female,42,2,101348.88
15647311,Hill,608,Spain,Female,41,1,112542.58
15619304,Onio,502,France,Female,42,8,113931.57
15701354,Boni,699,France,Female,39,1,"938,26.63"
15737888,Mitchell,850,Spain,Female,43,2,"790,84.1"
15574012,Chu,645,Spain,Male,44,8,149756.71
15592531,Bartlett,822,France,Male,50,7,"100,62.8"
15656148,Obinna,376,Germany,Female,29,4,119346.88
15792365,He,501,France,Male,44,4,"749,40.5"
15592389,H?,684,France,Male,27,2,"717,25.73"
15767821,Bearce,528,France,Male,31,6,"801,81.12"
15737173,Andrews,497,Spain,Male,24,3,"763,90.01"
15632264,Kay,476,France,Female,34,10,"262,60.98"
15691483,Chin,549,France,Female,25,5,190857.79
15600882,Scott,635,Spain,Female,35,7,"659,51.65"
15643966,Goforth,616,Germany,Male,45,3,"643,27.26"
15737452,Romeo,653,Germany,Male,58,1,"509,7.67"
15788218,Henderson,549,Spain,Female,24,9,"144,06.41"
15661507,Muldrow,587,Spain,Male,45,6,158684.81
15568982,Hao,726,France,Female,24,6,"547,24.03"
15577657,McDonald,732,France,Male,41,8,170886.17
15597945,Dellucci,636,Spain,Female,32,8,138555.46
15699309,Gerasimov,510,Spain,Female,38,4,118913.53
15725737,Mosman,669,France,Male,46,3,"848,7.75"
15625047,Yen,846,France,Female,38,5,187616.16
15738191,Maclean,577,France,Male,25,3,124508.29
15736816,Young,756,Germany,Male,36,2,170041.95
15700772,Nebechi,571,France,Male,44,9,"384,33.35"
15728693,Unknown_1,574,Germany,Female,,3,9999999.00
15656300,Lucciano,411,France,Male,29,0,"534,83.21"
15589475,Azikiwe,591,Spain,Female,39,3,140469.38
15706552,Odinakachukwu,533,France,Male,36,7,156731.91
15750181,Sanderson,553,Germany,Male,41,9,"818,98.81"
15659428,Maggard,520,Spain,Female,42,6,"344,10.55"
15732963,Clements,722,Spain,Female,29,9,142033.07
15794171,Lombardo,475,France,Female,45,0,"278,22.99"
15788448,Watson,490,Spain,Male,31,3,114066.77
15729599,Lorenzo,804,Spain,Male,33,7,"984,53.45"
15717426,Armstrong,850,France,Male,36,7,"408,12.9"
15585768,Cameron,582,Germany,Male,41,6,178074.04
15619360,Hsiao,472,Spain,Male,40,4,"701,54.22"
15738148,Clarke,465,France,Female,51,8,181297.65
15687946,Osborne,556,France,Female,61,2,"941,53.83"
15755196,Lavine,834,France,Female,49,2,194365.76
15684171,Bianchi,660,Spain,Female,61,5,158338.39
15754849,Tyler,776,Germany,Female,32,4,126517.46
15602280,Martin,829,Germany,Female,27,9,119708.21
15771573,Okagbue,637,Germany,Female,39,9,117622.80
15766205,Yin,550,Germany,Male,38,2,"908,78.13"
15771873,Buccho,776,Germany,Female,37,2,194099.12
15616550,Chidiebele,698,Germany,Male,44,10,198059.16
15768193,Trevisani,585,Germany,Male,36,5,"864,24.57"
15683553,O'Brien,788,France,Female,33,5,116978.19
15702298,Parkhill,655,Germany,Male,41,8,164040.94
15569590,Yoo,601,Germany,Male,42,1,"400,14.76"
15760861,Phillipps,619,France,Male,43,1,113410.49
15630053,Tsao,656,France,Male,45,5,"871,07.57"
15647091,Endrizzi,725,Germany,Male,19,0,"456,13.75"
15623944,T'ien,511,Spain,Female,66,4,"164,3.11"
15804771,Velazquez,614,France,Male,51,4,"467,75.28"
15651280,Hunter,742,Germany,Male,35,5,"845,09.57"
15773469,Clark,687,Germany,Female,27,9,126494.82
15702014,Jeffrey,555,Spain,Male,33,1,178798.13
15751208,Pirozzi,684,Spain,Male,56,8,"993,98.36"
15592461,Jackson,603,Germany,Male,26,4,"928,40.67"
15789484,Hammond,751,Germany,Female,36,6,"277,58.36"
15696061,Brownless,581,Germany,Female,34,1,110431.51
15641582,Chibugo,735,Germany,Male,43,10,196673.28
15638424,Glauert,661,Germany,Female,35,5,113656.85
15755648,Pisano,675,France,Female,21,8,"182,03.0"
15703793,Konovalova,738,Germany,Male,58,2,"283,73.86"
15620344,McKee,813,France,Male,29,6,"339,53.87"
15812518,Palermo,657,Spain,Female,37,0,"442,03.55"
15779052,Ballard,604,Germany,Female,25,5,"584,26.81"
15770811,Wallace,519,France,Male,36,9,145562.40
15780961,Cavenagh,735,France,Female,21,1,"223,88.0"
15614049,Hu,664,France,Male,55,8,139161.64
15662085,Read,678,France,Female,32,9,148210.64
15575185,Bushell,757,Spain,Male,33,5,194239.63
15803136,Postle,416,Germany,Female,41,10,"983,01.61"
15706021,Buley,665,France,Female,34,1,171413.66
15663706,Leonard,777,France,Female,32,2,136458.19
15641732,Mills,543,France,Female,36,3,"260,19.59"
15701164,Onyeorulu,506,France,Female,34,4,159235.29
15738751,Beit,493,France,Female,46,4,"190,7.66"
15805254,Ndukaku,652,Spain,Female,75,10,114675.75
15762418,Gant,750,Spain,Male,22,3,128643.35
